,Name,Description,Milestone or Deliverable,Phase,Task,SubTask,Hackathon,End,Start,Duration
46,DI.4.2.H3," wrap space weather simulators that support models such as Global Ionosphere-Thermosphere Model (GITM), and the Thermosphere-Ionosphere-Electrodynamics General Circulation Model (TIEGCM)",D,I,4,2,3,18,1,17
48,DI.4.3.H1, Interface standard to associate causal validation rankings with results and configurations,D,I,4,3,1,6,1,5
49,DI.4.3.H2, Interface standard to associate statistical validation rankings with results.,D,I,4,3,2,12,1,11
50,DI.4.3.H3, Display widget or interface standard to communicate a nested Vivarium configuration suitable for interactive exploration (browsing and drill-down). Interface standard to display interactive query builder within the HMI tool,D,I,4,3,3,18,1,17
53,DII.1.1.H4, Observe converts conditional queries to a simulation execution plan,D,II,1,1,4,32,22,10
55,DII.1.2.H4-5," Probabilistic query language capable of expressing conditional, and counterfactual expectation and probability queries respectively",D,II,1,2,4-5,41,22,19
57,DII.1.5.H4," Methods in vivarium_probabilistic.sbi.algorithm: bigraph, vivarium_probabilistic.sbi.algorithm: bigraph.multifidelity",D,II,1,5,4,32,22,10
58,DII.1.5.H5, Paper or technical report describing bigraph-structure-exploiting simulation-based inference algorithms with vivarium implementation,D,II,1,5,5,41,22,19
60,DII.1.6.H4, vivarium_probabilistic.sbi.algorithm.epidemiology.multifidelity,D,II,1,6,4,32,22,10
61,DII.1.6.H5, vivarium_probabilistic.sbi.algorithm.spaceweather.multifidelity,D,II,1,6,5,41,22,19
63,DII.2.1.H4, (software) Vivarium Core 2.0 with completed annotation methods.,D,II,2,1,4,32,22,10
64,DII.2.1.H5," (paper) The standardized simulator protocol, along with an online registry for simulation configurations.",D,II,2,1,5,41,22,19
66,DII.2.3.H4," Documentation, tests and configuration scripts to deploying simulation pipelines on Kubernetes or high-performance computing facilities.",D,II,2,3,4,32,22,10
68,DII.3.1.H4, Enable customization of pre-defined query templates derived from datasets,D,II,3,1,4,32,22,10
69,DII.3.1.H5," Enable free-form queries that use underlying model variables, parameters and data.",D,II,3,1,5,41,22,19
71,DII.3.2.H5, Demonstrate causal validation for counterfactual queries over DAG models and cyclic models,D,II,3,2,5,41,22,19
73,DII.3.3.H4, Causal consistency visualization,D,II,3,3,4,32,22,10
74,DII.3.3.H5, Causal consistency visualization supporting external dataset import,D,II,3,3,5,41,22,19
76,DII.3.4.H4, Visualization of probabilistic simulation-based inference configurations,D,II,3,4,4,32,22,10
77,DII.3.4.H5, Visualization of counterfactual simulation-based inference configurations.,D,II,3,4,5,41,22,19
79,DII.3.5.H4, Monitoring tools for probabilistic simulation-based inference of epidemiology and space weather scenarios and inverse modeling of parameters.,D,II,3,5,4,32,22,10
80,DII.3.5.H5, Monitoring tools for counterfactual simulation-based inference of epidemiology and space weather scenarios,D,II,3,5,5,41,22,19
82,DII.3.6.H4-5," Tools that compare performance and results from multiple executions, and explore dynamic reconfigurations, respectively",D,II,3,6,4-5,41,22,19
84,DII.4.1.H4-5," Map metadata to model parameters and variables for Hackathon 4 and 5 use cases, respectively",D,II,4,1,4-5,41,22,19
86,DII.4.2.H4, wrap Hackathon 4 coupled models such as magnetosphere-ionosphere coupled models,D,II,4,2,4,32,22,10
87,DII.4.2.H5, wrap Hackathon 5 models such as space weather prediction center models,D,II,4,2,5,41,22,19
89,DII.4.3.H4, Interface standard to associate current running progress with associated configuration: components.,D,II,4,3,4,32,22,10
90,DII.4.3.H5, Interface standard to associate execution results with vivarium configuration results or display widget interface for post-execution exploration.,D,II,4,3,5,41,22,19
