Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
10/07/2022 12:00:00 AM,50 - 64 Years,8.304807319479993,0.945,0.827
10/07/2022 12:00:00 AM,65+ Years,10.56373459238124,0.95,0.928
10/06/2022 12:00:00 AM,<2 Years,6.214790619579823,0.051,0.017
10/06/2022 12:00:00 AM,2 - 4 Years,6.300858515509917,0.079,0.031
10/06/2022 12:00:00 AM,5 - 11 Years,4.136143773723567,0.386,0.316
10/06/2022 12:00:00 AM,12 - 17 Years,5.561500963851687,0.711,0.608
10/06/2022 12:00:00 AM,18 - 24 Years,8.572126519236049,0.805,0.655
10/06/2022 12:00:00 AM,25 - 49 Years,9.825782387363974,0.84,0.71
10/06/2022 12:00:00 AM,50 - 64 Years,9.662871817036901,0.945,0.827
10/06/2022 12:00:00 AM,65+ Years,12.524581910024427,0.95,0.928
10/05/2022 12:00:00 AM,<2 Years,6.756014912277388,0.051,0.017
10/05/2022 12:00:00 AM,2 - 4 Years,6.712981203865796,0.079,0.031
10/05/2022 12:00:00 AM,5 - 11 Years,4.336020561234735,0.386,0.315
10/05/2022 12:00:00 AM,12 - 17 Years,5.85844936730203,0.711,0.608
10/05/2022 12:00:00 AM,18 - 24 Years,9.015553126804758,0.805,0.655
10/05/2022 12:00:00 AM,25 - 49 Years,10.529107395826626,0.839,0.71
10/05/2022 12:00:00 AM,50 - 64 Years,10.416141292612599,0.945,0.827
10/05/2022 12:00:00 AM,65+ Years,13.617846782408506,0.95,0.928
10/04/2022 12:00:00 AM,<2 Years,7.184535748143196,0.051,0.016
10/04/2022 12:00:00 AM,2 - 4 Years,6.634820004350026,0.079,0.03
10/04/2022 12:00:00 AM,5 - 11 Years,4.079394836565873,0.386,0.315
10/04/2022 12:00:00 AM,12 - 17 Years,5.571779947048046,0.711,0.608
10/04/2022 12:00:00 AM,18 - 24 Years,8.043607385694665,0.805,0.655
10/04/2022 12:00:00 AM,25 - 49 Years,9.546277827860198,0.839,0.71
10/04/2022 12:00:00 AM,50 - 64 Years,10.239969769693149,0.945,0.827
10/04/2022 12:00:00 AM,65+ Years,13.884754570928669,0.95,0.927
10/03/2022 12:00:00 AM,<2 Years,7.785208018070699,0.051,0.016
10/03/2022 12:00:00 AM,2 - 4 Years,7.235240127902988,0.079,0.03
10/03/2022 12:00:00 AM,5 - 11 Years,4.410848805805498,0.386,0.315
10/03/2022 12:00:00 AM,12 - 17 Years,6.078876451401706,0.711,0.608
10/03/2022 12:00:00 AM,18 - 24 Years,8.74042062615978,0.805,0.655
10/03/2022 12:00:00 AM,25 - 49 Years,10.287699056453985,0.839,0.71
10/03/2022 12:00:00 AM,50 - 64 Years,10.97712045902235,0.945,0.827
10/03/2022 12:00:00 AM,65+ Years,14.742823471250427,0.95,0.927
10/02/2022 12:00:00 AM,<2 Years,8.50477624245808,0.05,0.016
10/02/2022 12:00:00 AM,2 - 4 Years,8.009746559468343,0.078,0.03
10/02/2022 12:00:00 AM,5 - 11 Years,4.928620081996489,0.386,0.315
10/02/2022 12:00:00 AM,12 - 17 Years,6.711604972599743,0.711,0.608
10/02/2022 12:00:00 AM,18 - 24 Years,9.59323683090813,0.804,0.654
10/02/2022 12:00:00 AM,25 - 49 Years,11.155314014232156,0.839,0.71
10/02/2022 12:00:00 AM,50 - 64 Years,11.810983865830531,0.945,0.827
10/02/2022 12:00:00 AM,65+ Years,15.688099866831248,0.95,0.927
10/01/2022 12:00:00 AM,<2 Years,8.721513659442232,0.05,0.016
10/01/2022 12:00:00 AM,2 - 4 Years,8.267323239690768,0.078,0.03
10/01/2022 12:00:00 AM,5 - 11 Years,5.118452809833729,0.386,0.315
10/01/2022 12:00:00 AM,12 - 17 Years,6.919468855014982,0.711,0.608
10/01/2022 12:00:00 AM,18 - 24 Years,9.819204760991122,0.804,0.654
10/01/2022 12:00:00 AM,25 - 49 Years,11.451882505669671,0.839,0.71
10/01/2022 12:00:00 AM,50 - 64 Years,12.08750050876338,0.945,0.827
10/01/2022 12:00:00 AM,65+ Years,16.00918200846689,0.95,0.927
09/30/2022 12:00:00 AM,<2 Years,8.925866081170144,0.05,0.016
09/30/2022 12:00:00 AM,2 - 4 Years,8.47693736566488,0.078,0.029
09/30/2022 12:00:00 AM,5 - 11 Years,5.346452964431896,0.386,0.315
09/30/2022 12:00:00 AM,12 - 17 Years,7.178727653412012,0.711,0.608
09/30/2022 12:00:00 AM,18 - 24 Years,10.049900053628145,0.804,0.654
09/30/2022 12:00:00 AM,25 - 49 Years,11.770938349267924,0.839,0.71
09/30/2022 12:00:00 AM,50 - 64 Years,12.41600591297014,0.945,0.827
09/30/2022 12:00:00 AM,65+ Years,16.37651054910355,0.95,0.927
09/29/2022 12:00:00 AM,<2 Years,8.941966575003253,0.05,0.015
09/29/2022 12:00:00 AM,2 - 4 Years,8.59950833763279,0.078,0.029
09/29/2022 12:00:00 AM,5 - 11 Years,5.505651310263656,0.386,0.315
09/29/2022 12:00:00 AM,12 - 17 Years,7.531068355198284,0.711,0.608
09/29/2022 12:00:00 AM,18 - 24 Years,10.27303156617871,0.804,0.654
09/29/2022 12:00:00 AM,25 - 49 Years,11.955070079901743,0.839,0.709
09/29/2022 12:00:00 AM,50 - 64 Years,12.518621284567555,0.944,0.826
09/29/2022 12:00:00 AM,65+ Years,16.335285187708358,0.95,0.926
09/28/2022 12:00:00 AM,<2 Years,9.204528474435481,0.049,0.015
09/28/2022 12:00:00 AM,2 - 4 Years,8.968997644434612,0.077,0.028
09/28/2022 12:00:00 AM,5 - 11 Years,5.929510628503418,0.385,0.315
09/28/2022 12:00:00 AM,12 - 17 Years,8.180928515056916,0.71,0.608
09/28/2022 12:00:00 AM,18 - 24 Years,10.828023930022704,0.804,0.654
09/28/2022 12:00:00 AM,25 - 49 Years,12.429288653409099,0.839,0.709
09/28/2022 12:00:00 AM,50 - 64 Years,12.981525582547919,0.944,0.826
09/28/2022 12:00:00 AM,65+ Years,16.68860767607614,0.95,0.926
09/27/2022 12:00:00 AM,<2 Years,9.216913469691718,0.049,0.015
09/27/2022 12:00:00 AM,2 - 4 Years,8.919258699288214,0.077,0.028
09/27/2022 12:00:00 AM,5 - 11 Years,6.032964443144877,0.385,0.315
09/27/2022 12:00:00 AM,12 - 17 Years,8.387650288228114,0.71,0.608
09/27/2022 12:00:00 AM,18 - 24 Years,10.842206017684816,0.804,0.654
09/27/2022 12:00:00 AM,25 - 49 Years,12.51156590660898,0.838,0.709
09/27/2022 12:00:00 AM,50 - 64 Years,13.135221614785637,0.944,0.826
09/27/2022 12:00:00 AM,65+ Years,16.94811604075614,0.95,0.926
09/26/2022 12:00:00 AM,<2 Years,9.358102415612821,0.049,0.014
09/26/2022 12:00:00 AM,2 - 4 Years,9.226574324657037,0.077,0.027
09/26/2022 12:00:00 AM,5 - 11 Years,6.48193391056946,0.385,0.315
09/26/2022 12:00:00 AM,12 - 17 Years,9.02494724640231,0.71,0.608
09/26/2022 12:00:00 AM,18 - 24 Years,11.06628300274619,0.804,0.654
09/26/2022 12:00:00 AM,25 - 49 Years,12.79662616488188,0.838,0.709
09/26/2022 12:00:00 AM,50 - 64 Years,13.393803270204781,0.944,0.826
09/26/2022 12:00:00 AM,65+ Years,17.26417714478596,0.95,0.926
09/25/2022 12:00:00 AM,<2 Years,9.613233317891309,0.048,0.014
09/25/2022 12:00:00 AM,2 - 4 Years,9.6777776127708,0.076,0.027
09/25/2022 12:00:00 AM,5 - 11 Years,7.030339568765931,0.385,0.315
09/25/2022 12:00:00 AM,12 - 17 Years,9.854118557575188,0.71,0.608
09/25/2022 12:00:00 AM,18 - 24 Years,11.297923767894023,0.803,0.654
09/25/2022 12:00:00 AM,25 - 49 Years,13.17044532491864,0.838,0.709
09/25/2022 12:00:00 AM,50 - 64 Years,13.6984710327794,0.944,0.826
09/25/2022 12:00:00 AM,65+ Years,17.64921144961158,0.95,0.925
09/24/2022 12:00:00 AM,<2 Years,9.572362833545725,0.048,0.014
09/24/2022 12:00:00 AM,2 - 4 Years,9.697317912649742,0.076,0.027
09/24/2022 12:00:00 AM,5 - 11 Years,7.150366081869371,0.385,0.315
09/24/2022 12:00:00 AM,12 - 17 Years,10.200177658519237,0.71,0.608
09/24/2022 12:00:00 AM,18 - 24 Years,11.299341976660234,0.803,0.654
09/24/2022 12:00:00 AM,25 - 49 Years,13.201266225233065,0.838,0.709
09/24/2022 12:00:00 AM,50 - 64 Years,13.725487026629162,0.944,0.826
09/24/2022 12:00:00 AM,65+ Years,17.68198032661802,0.95,0.925
09/23/2022 12:00:00 AM,<2 Years,9.743275768081798,0.048,0.014
09/23/2022 12:00:00 AM,2 - 4 Years,9.965552938260682,0.076,0.026
09/23/2022 12:00:00 AM,5 - 11 Years,7.401467573717572,0.385,0.314
09/23/2022 12:00:00 AM,12 - 17 Years,10.543381486353192,0.71,0.608
09/23/2022 12:00:00 AM,18 - 24 Years,11.59716581756459,0.803,0.654
09/23/2022 12:00:00 AM,25 - 49 Years,13.340423251545404,0.838,0.709
09/23/2022 12:00:00 AM,50 - 64 Years,13.827648347909772,0.944,0.826
09/23/2022 12:00:00 AM,65+ Years,17.812791569506615,0.95,0.925
09/22/2022 12:00:00 AM,<2 Years,9.978590677950306,0.048,0.014
09/22/2022 12:00:00 AM,2 - 4 Years,10.232011572973535,0.076,0.025
09/22/2022 12:00:00 AM,5 - 11 Years,7.79117708906598,0.385,0.314
09/22/2022 12:00:00 AM,12 - 17 Years,11.00193834783516,0.71,0.607
09/22/2022 12:00:00 AM,18 - 24 Years,12.021210238661748,0.803,0.654
09/22/2022 12:00:00 AM,25 - 49 Years,13.596249952009344,0.838,0.709
09/22/2022 12:00:00 AM,50 - 64 Years,14.03174396531259,0.943,0.826
09/22/2022 12:00:00 AM,65+ Years,18.06357918466071,0.95,0.925
09/21/2022 12:00:00 AM,<2 Years,10.227529082600672,0.048,0.013
09/21/2022 12:00:00 AM,2 - 4 Years,10.528668852953844,0.075,0.025
09/21/2022 12:00:00 AM,5 - 11 Years,8.190428461104618,0.385,0.314
09/21/2022 12:00:00 AM,12 - 17 Years,11.423947713507857,0.71,0.607
09/21/2022 12:00:00 AM,18 - 24 Years,12.391362726642878,0.803,0.654
09/21/2022 12:00:00 AM,25 - 49 Years,13.808821569199392,0.837,0.708
09/21/2022 12:00:00 AM,50 - 64 Years,14.14253224261245,0.943,0.826
09/21/2022 12:00:00 AM,65+ Years,18.264156423756557,0.95,0.925
09/20/2022 12:00:00 AM,<2 Years,10.548300459737217,0.047,0.013
09/20/2022 12:00:00 AM,2 - 4 Years,10.931909586819293,0.075,0.024
09/20/2022 12:00:00 AM,5 - 11 Years,8.458604854398498,0.385,0.314
09/20/2022 12:00:00 AM,12 - 17 Years,11.757443612767473,0.71,0.607
09/20/2022 12:00:00 AM,18 - 24 Years,12.858426146981774,0.803,0.653
09/20/2022 12:00:00 AM,25 - 49 Years,14.015308373451829,0.837,0.708
09/20/2022 12:00:00 AM,50 - 64 Years,14.252185394120305,0.943,0.825
09/20/2022 12:00:00 AM,65+ Years,18.35823481258149,0.95,0.924
09/19/2022 12:00:00 AM,<2 Years,10.885172330706867,0.047,0.013
09/19/2022 12:00:00 AM,2 - 4 Years,11.276529421047915,0.074,0.024
09/19/2022 12:00:00 AM,5 - 11 Years,8.742349540186964,0.385,0.314
09/19/2022 12:00:00 AM,12 - 17 Years,12.238842659130238,0.71,0.607
09/19/2022 12:00:00 AM,18 - 24 Years,13.456910246322911,0.803,0.653
09/19/2022 12:00:00 AM,25 - 49 Years,14.31108319363661,0.837,0.708
09/19/2022 12:00:00 AM,50 - 64 Years,14.531880389270777,0.943,0.825
09/19/2022 12:00:00 AM,65+ Years,18.67403165147416,0.95,0.924
09/18/2022 12:00:00 AM,<2 Years,11.017691779948606,0.046,0.012
09/18/2022 12:00:00 AM,2 - 4 Years,11.331597538888573,0.074,0.023
09/18/2022 12:00:00 AM,5 - 11 Years,9.07079029152441,0.384,0.314
09/18/2022 12:00:00 AM,12 - 17 Years,12.550067428131076,0.71,0.607
09/18/2022 12:00:00 AM,18 - 24 Years,13.873863623589013,0.802,0.653
09/18/2022 12:00:00 AM,25 - 49 Years,14.351031313357453,0.837,0.708
09/18/2022 12:00:00 AM,50 - 64 Years,14.52597773515234,0.943,0.825
09/18/2022 12:00:00 AM,65+ Years,18.51758669028214,0.95,0.924
09/17/2022 12:00:00 AM,<2 Years,11.203466708792163,0.046,0.012
09/17/2022 12:00:00 AM,2 - 4 Years,11.523447755881827,0.074,0.023
09/17/2022 12:00:00 AM,5 - 11 Years,9.167213264394121,0.384,0.314
09/17/2022 12:00:00 AM,12 - 17 Years,12.666562571023134,0.71,0.607
09/17/2022 12:00:00 AM,18 - 24 Years,14.149941596744798,0.802,0.653
09/17/2022 12:00:00 AM,25 - 49 Years,14.462409845824174,0.837,0.708
09/17/2022 12:00:00 AM,50 - 64 Years,14.62314450294812,0.943,0.825
09/17/2022 12:00:00 AM,65+ Years,18.53793510584259,0.95,0.924
09/16/2022 12:00:00 AM,<2 Years,11.388003138110099,0.046,0.012
09/16/2022 12:00:00 AM,2 - 4 Years,11.75615496353105,0.074,0.023
09/16/2022 12:00:00 AM,5 - 11 Years,9.306825693861722,0.384,0.314
09/16/2022 12:00:00 AM,12 - 17 Years,12.882992272768671,0.71,0.607
09/16/2022 12:00:00 AM,18 - 24 Years,14.475184140462574,0.802,0.653
09/16/2022 12:00:00 AM,25 - 49 Years,14.658843480875339,0.837,0.708
09/16/2022 12:00:00 AM,50 - 64 Years,14.73052740287196,0.943,0.825
09/16/2022 12:00:00 AM,65+ Years,18.657911478108087,0.95,0.924
09/15/2022 12:00:00 AM,<2 Years,11.722398010028503,0.046,0.012
09/15/2022 12:00:00 AM,2 - 4 Years,11.905371798970247,0.073,0.022
09/15/2022 12:00:00 AM,5 - 11 Years,9.425847800997769,0.384,0.313
09/15/2022 12:00:00 AM,12 - 17 Years,13.038319129958081,0.709,0.607
09/15/2022 12:00:00 AM,18 - 24 Years,14.835409167080226,0.802,0.653
09/15/2022 12:00:00 AM,25 - 49 Years,14.946284752906436,0.837,0.708
09/15/2022 12:00:00 AM,50 - 64 Years,14.894439567237741,0.943,0.825
09/15/2022 12:00:00 AM,65+ Years,18.737455284389835,0.95,0.923
09/14/2022 12:00:00 AM,<2 Years,12.238852312213593,0.045,0.012
09/14/2022 12:00:00 AM,2 - 4 Years,12.16294847919267,0.073,0.022
09/14/2022 12:00:00 AM,5 - 11 Years,9.488120970976123,0.384,0.313
09/14/2022 12:00:00 AM,12 - 17 Years,13.358109718289217,0.709,0.607
09/14/2022 12:00:00 AM,18 - 24 Years,15.616369461007208,0.802,0.653
09/14/2022 12:00:00 AM,25 - 49 Years,15.452779290691558,0.836,0.708
09/14/2022 12:00:00 AM,50 - 64 Years,15.333733248744364,0.942,0.825
09/14/2022 12:00:00 AM,65+ Years,19.15050169375322,0.95,0.923
09/13/2022 12:00:00 AM,<2 Years,12.762737611552424,0.045,0.011
09/13/2022 12:00:00 AM,2 - 4 Years,12.624810112694949,0.072,0.021
09/13/2022 12:00:00 AM,5 - 11 Years,9.878834892291923,0.384,0.313
09/13/2022 12:00:00 AM,12 - 17 Years,14.082206979010435,0.709,0.607
09/13/2022 12:00:00 AM,18 - 24 Years,16.413402787617915,0.802,0.653
09/13/2022 12:00:00 AM,25 - 49 Years,16.065625776342763,0.836,0.708
09/13/2022 12:00:00 AM,50 - 64 Years,15.85748028917629,0.942,0.825
09/13/2022 12:00:00 AM,65+ Years,19.777338599069886,0.95,0.923
09/12/2022 12:00:00 AM,<2 Years,13.274237915635021,0.045,0.011
09/12/2022 12:00:00 AM,2 - 4 Years,13.129305127751284,0.072,0.021
09/12/2022 12:00:00 AM,5 - 11 Years,10.484491690629783,0.384,0.313
09/12/2022 12:00:00 AM,12 - 17 Years,15.02216288685517,0.709,0.607
09/12/2022 12:00:00 AM,18 - 24 Years,17.42884026422515,0.802,0.653
09/12/2022 12:00:00 AM,25 - 49 Years,16.9612837850508,0.836,0.708
09/12/2022 12:00:00 AM,50 - 64 Years,16.537874688905152,0.942,0.825
09/12/2022 12:00:00 AM,65+ Years,20.344715848528097,0.95,0.923
09/11/2022 12:00:00 AM,<2 Years,12.668611647605022,0.044,0.011
09/11/2022 12:00:00 AM,2 - 4 Years,12.31216531463187,0.071,0.02
09/11/2022 12:00:00 AM,5 - 11 Years,9.547380923052298,0.384,0.313
09/11/2022 12:00:00 AM,12 - 17 Years,13.832656109187743,0.709,0.607
09/11/2022 12:00:00 AM,18 - 24 Years,16.327364789134435,0.801,0.653
09/11/2022 12:00:00 AM,25 - 49 Years,15.758871837161854,0.836,0.707
09/11/2022 12:00:00 AM,50 - 64 Years,15.314209085121847,0.942,0.825
09/11/2022 12:00:00 AM,65+ Years,19.14627345155884,0.95,0.923
09/10/2022 12:00:00 AM,<2 Years,13.064931495804613,0.044,0.011
09/10/2022 12:00:00 AM,2 - 4 Years,12.633692067185379,0.071,0.02
09/10/2022 12:00:00 AM,5 - 11 Years,9.856737961009282,0.384,0.313
09/10/2022 12:00:00 AM,12 - 17 Years,14.263231294190737,0.709,0.607
09/10/2022 12:00:00 AM,18 - 24 Years,16.767482242915317,0.801,0.652
09/10/2022 12:00:00 AM,25 - 49 Years,16.08308654390287,0.836,0.707
09/10/2022 12:00:00 AM,50 - 64 Years,15.641806388695002,0.942,0.825
09/10/2022 12:00:00 AM,65+ Years,19.61005876725477,0.95,0.922
09/09/2022 12:00:00 AM,<2 Years,13.327493395236841,0.044,0.011
09/09/2022 12:00:00 AM,2 - 4 Years,12.877057620223118,0.071,0.019
09/09/2022 12:00:00 AM,5 - 11 Years,10.072183041015037,0.384,0.313
09/09/2022 12:00:00 AM,12 - 17 Years,14.595585084206315,0.709,0.607
09/09/2022 12:00:00 AM,18 - 24 Years,17.025596238365758,0.801,0.652
09/09/2022 12:00:00 AM,25 - 49 Years,16.249757506976582,0.836,0.707
09/09/2022 12:00:00 AM,50 - 64 Years,15.836593974603364,0.942,0.824
09/09/2022 12:00:00 AM,65+ Years,19.819356755876523,0.95,0.922
09/08/2022 12:00:00 AM,<2 Years,13.64950327189901,0.044,0.01
09/08/2022 12:00:00 AM,2 - 4 Years,13.36556511719668,0.071,0.019
09/08/2022 12:00:00 AM,5 - 11 Years,10.711989642244252,0.383,0.312
09/08/2022 12:00:00 AM,12 - 17 Years,15.519551462634492,0.709,0.607
09/08/2022 12:00:00 AM,18 - 24 Years,17.494550603726275,0.801,0.652
09/08/2022 12:00:00 AM,25 - 49 Years,16.510743070583278,0.836,0.707
09/08/2022 12:00:00 AM,50 - 64 Years,16.0938134790721,0.942,0.824
09/08/2022 12:00:00 AM,65+ Years,20.12960402688907,0.95,0.922
09/07/2022 12:00:00 AM,<2 Years,15.17533468746743,0.043,0.01
09/07/2022 12:00:00 AM,2 - 4 Years,15.47769389502056,0.07,0.018
09/07/2022 12:00:00 AM,5 - 11 Years,12.290915822985742,0.383,0.312
09/07/2022 12:00:00 AM,12 - 17 Years,17.135064988328757,0.709,0.606
09/07/2022 12:00:00 AM,18 - 24 Years,18.998797368420977,0.801,0.652
09/07/2022 12:00:00 AM,25 - 49 Years,17.905620297259723,0.835,0.707
09/07/2022 12:00:00 AM,50 - 64 Years,17.036875987071333,0.942,0.824
09/07/2022 12:00:00 AM,65+ Years,20.66949770208382,0.95,0.922
09/06/2022 12:00:00 AM,<2 Years,15.762383462613073,0.043,0.01
09/06/2022 12:00:00 AM,2 - 4 Years,16.392535207534685,0.07,0.018
09/06/2022 12:00:00 AM,5 - 11 Years,13.19136577275339,0.383,0.312
09/06/2022 12:00:00 AM,12 - 17 Years,18.046468165072497,0.709,0.606
09/06/2022 12:00:00 AM,18 - 24 Years,20.129109755091324,0.801,0.652
09/06/2022 12:00:00 AM,25 - 49 Years,19.064909440416898,0.835,0.707
09/06/2022 12:00:00 AM,50 - 64 Years,18.073926910648726,0.942,0.824
09/06/2022 12:00:00 AM,65+ Years,20.96045361808451,0.95,0.922
09/05/2022 12:00:00 AM,<2 Years,16.228059284247593,0.042,0.01
09/05/2022 12:00:00 AM,2 - 4 Years,16.93255804055273,0.069,0.018
09/05/2022 12:00:00 AM,5 - 11 Years,13.83217677995,0.383,0.312
09/05/2022 12:00:00 AM,12 - 17 Years,18.711175745103645,0.709,0.606
09/05/2022 12:00:00 AM,18 - 24 Years,20.620755460711216,0.801,0.652
09/05/2022 12:00:00 AM,25 - 49 Years,19.32748234652906,0.835,0.707
09/05/2022 12:00:00 AM,50 - 64 Years,18.571112007547697,0.942,0.824
09/05/2022 12:00:00 AM,65+ Years,21.41128994206016,0.95,0.922
09/04/2022 12:00:00 AM,<2 Years,17.7427442040854,0.042,0.01
09/04/2022 12:00:00 AM,2 - 4 Years,19.050015991070865,0.069,0.018
09/04/2022 12:00:00 AM,5 - 11 Years,16.30100664780151,0.383,0.312
09/04/2022 12:00:00 AM,12 - 17 Years,21.687512435071305,0.709,0.606
09/04/2022 12:00:00 AM,18 - 24 Years,22.95843624368272,0.801,0.652
09/04/2022 12:00:00 AM,25 - 49 Years,21.68997710882791,0.835,0.707
09/04/2022 12:00:00 AM,50 - 64 Years,20.647484106286495,0.942,0.824
09/04/2022 12:00:00 AM,65+ Years,23.242647342500497,0.95,0.922
09/03/2022 12:00:00 AM,<2 Years,17.834393168981553,0.042,0.01
09/03/2022 12:00:00 AM,2 - 4 Years,19.266735680637314,0.069,0.018
09/03/2022 12:00:00 AM,5 - 11 Years,16.607350467856318,0.383,0.312
09/03/2022 12:00:00 AM,12 - 17 Years,21.86967885949565,0.709,0.606
09/03/2022 12:00:00 AM,18 - 24 Years,23.078038516299866,0.801,0.652
09/03/2022 12:00:00 AM,25 - 49 Years,21.893289228069417,0.835,0.707
09/03/2022 12:00:00 AM,50 - 64 Years,20.706283622312444,0.942,0.824
09/03/2022 12:00:00 AM,65+ Years,23.11421448584624,0.95,0.922
09/02/2022 12:00:00 AM,<2 Years,18.312453985872313,0.042,0.01
09/02/2022 12:00:00 AM,2 - 4 Years,19.77655986838791,0.069,0.018
09/02/2022 12:00:00 AM,5 - 11 Years,17.305412615194314,0.383,0.312
09/02/2022 12:00:00 AM,12 - 17 Years,22.48127835967895,0.709,0.606
09/02/2022 12:00:00 AM,18 - 24 Years,23.59899386975479,0.801,0.652
09/02/2022 12:00:00 AM,25 - 49 Years,22.447271762476333,0.835,0.707
09/02/2022 12:00:00 AM,50 - 64 Years,21.119696435761313,0.941,0.824
09/02/2022 12:00:00 AM,65+ Years,23.44983121002506,0.95,0.922
09/01/2022 12:00:00 AM,<2 Years,18.697627338341285,0.042,0.009
09/01/2022 12:00:00 AM,2 - 4 Years,20.64521501755181,0.068,0.017
09/01/2022 12:00:00 AM,5 - 11 Years,18.09035587871179,0.383,0.312
09/01/2022 12:00:00 AM,12 - 17 Years,22.862171792566212,0.709,0.606
09/01/2022 12:00:00 AM,18 - 24 Years,23.83441652494585,0.801,0.652
09/01/2022 12:00:00 AM,25 - 49 Years,22.91910932222549,0.835,0.707
09/01/2022 12:00:00 AM,50 - 64 Years,21.524482293190932,0.941,0.824
09/01/2022 12:00:00 AM,65+ Years,23.68951968941891,0.95,0.922
08/31/2022 12:00:00 AM,<2 Years,17.776183691277243,0.041,0.009
08/31/2022 12:00:00 AM,2 - 4 Years,19.995055948852446,0.068,0.017
08/31/2022 12:00:00 AM,5 - 11 Years,17.896003324021283,0.382,0.311
08/31/2022 12:00:00 AM,12 - 17 Years,22.357930561322654,0.708,0.606
08/31/2022 12:00:00 AM,18 - 24 Years,22.76886900526582,0.8,0.652
08/31/2022 12:00:00 AM,25 - 49 Years,22.212874185836153,0.835,0.707
08/31/2022 12:00:00 AM,50 - 64 Years,21.079285957565872,0.941,0.824
08/31/2022 12:00:00 AM,65+ Years,23.558708446530314,0.95,0.922
08/30/2022 12:00:00 AM,<2 Years,17.992921108261392,0.041,0.009
08/30/2022 12:00:00 AM,2 - 4 Years,19.975515648973506,0.067,0.017
08/30/2022 12:00:00 AM,5 - 11 Years,18.407748164407916,0.382,0.311
08/30/2022 12:00:00 AM,12 - 17 Years,22.41332285965858,0.708,0.606
08/30/2022 12:00:00 AM,18 - 24 Years,22.23656798168121,0.8,0.652
08/30/2022 12:00:00 AM,25 - 49 Years,21.805323997558283,0.835,0.707
08/30/2022 12:00:00 AM,50 - 64 Years,20.619560011803124,0.941,0.824
08/30/2022 12:00:00 AM,65+ Years,23.668114213309867,0.95,0.922
08/29/2022 12:00:00 AM,<2 Years,18.380571459781613,0.04,0.009
08/29/2022 12:00:00 AM,2 - 4 Years,20.43915367337387,0.066,0.016
08/29/2022 12:00:00 AM,5 - 11 Years,18.804488521528075,0.382,0.311
08/29/2022 12:00:00 AM,12 - 17 Years,22.232869599100297,0.708,0.606
08/29/2022 12:00:00 AM,18 - 24 Years,21.977508513719954,0.8,0.652
